sample_id,bloque,tratamiento,genotipo,tipo_dato,variable,value,layer
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Ci,225.4,Fisiología
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,E,3.63,Fisiología
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Fv_Fm,0.828,Fisiología
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,SPAD,45.8,Fisiología
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,CTD,4.45,Fisiología
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,K_mg_g,38.99,Ionómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Na_mg_g,1.26,Ionómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Ca_mg_g,9.11,Ionómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Mg_mg_g,3.08,Ionómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,P_mg_g,4.09,Ionómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Fe_ug_g,104.3,Ionómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Zn_ug_g,43.4,Ionómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Mn_ug_g,72.3,Ionómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Glucosa,105.01,Metabolómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Fructosa,83.98,Metabolómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Sacarosa,90.4,Metabolómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Rafinosa,25.68,Metabolómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Prolina,32.94,Metabolómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,GABA,49.31,Metabolómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Malato,73.22,Metabolómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,Citrato,58.65,Metabolómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,A_net,24.58,Fisiología
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,gs,0.347,Fisiología
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Ci,242.2,Fisiología
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,E,4.62,Fisiología
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Fv_Fm,0.832,Fisiología
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,SPAD,46.6,Fisiología
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,CTD,4.7,Fisiología
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,K_mg_g,40.38,Ionómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Na_mg_g,1.12,Ionómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Ca_mg_g,8.46,Ionómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Mg_mg_g,3.2,Ionómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,P_mg_g,3.58,Ionómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Fe_ug_g,100.4,Ionómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Zn_ug_g,40.3,Ionómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Mn_ug_g,68,Ionómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Glucosa,135.83,Metabolómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Fructosa,90.28,Metabolómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Sacarosa,89.65,Metabolómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Rafinosa,21.54,Metabolómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Prolina,40.77,Metabolómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,GABA,41.67,Metabolómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Malato,69.04,Metabolómica
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,simulado,Citrato,48.96,Metabolómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,A_net,22.37,Fisiología
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,gs,0.291,Fisiología
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Ci,212.2,Fisiología
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,E,3.36,Fisiología
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Fv_Fm,0.812,Fisiología
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,SPAD,46.6,Fisiología
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,CTD,4.85,Fisiología
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,K_mg_g,36.14,Ionómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Na_mg_g,1.41,Ionómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Ca_mg_g,8.66,Ionómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Mg_mg_g,3.21,Ionómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,P_mg_g,4.08,Ionómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Fe_ug_g,111.2,Ionómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Zn_ug_g,43.4,Ionómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Mn_ug_g,63.9,Ionómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Glucosa,134.03,Metabolómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Fructosa,90.96,Metabolómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Sacarosa,81.74,Metabolómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Rafinosa,25.37,Metabolómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Prolina,42.39,Metabolómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,GABA,50.39,Metabolómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Malato,67.14,Metabolómica
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,simulado,Citrato,59.66,Metabolómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,A_net,20.79,Fisiología
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,gs,0.256,Fisiología
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Ci,207.9,Fisiología
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,E,3.32,Fisiología
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Fv_Fm,0.83,Fisiología
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,SPAD,42.9,Fisiología
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,CTD,4.02,Fisiología
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,K_mg_g,41.2,Ionómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Na_mg_g,1.1,Ionómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Ca_mg_g,8.78,Ionómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Mg_mg_g,3.11,Ionómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,P_mg_g,3.77,Ionómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Fe_ug_g,105.5,Ionómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Zn_ug_g,40.1,Ionómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Mn_ug_g,69.2,Ionómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Glucosa,130.32,Metabolómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Fructosa,84.56,Metabolómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Sacarosa,92.89,Metabolómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Rafinosa,21.86,Metabolómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Prolina,40.19,Metabolómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,GABA,51.34,Metabolómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Malato,72.08,Metabolómica
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,simulado,Citrato,63.42,Metabolómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,A_net,17.81,Fisiología
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,gs,0.161,Fisiología
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Ci,280,Fisiología
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,E,2.45,Fisiología
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Fv_Fm,0.788,Fisiología
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,SPAD,40.3,Fisiología
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,CTD,3.1,Fisiología
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,K_mg_g,31.49,Ionómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Na_mg_g,1.62,Ionómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Ca_mg_g,10.96,Ionómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Mg_mg_g,3.32,Ionómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,P_mg_g,4.27,Ionómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Fe_ug_g,101.5,Ionómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Zn_ug_g,37.5,Ionómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Mn_ug_g,63.6,Ionómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Glucosa,106.6,Metabolómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Fructosa,76.96,Metabolómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Sacarosa,82.49,Metabolómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Rafinosa,36.44,Metabolómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Prolina,59.14,Metabolómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,GABA,55.39,Metabolómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Malato,59.63,Metabolómica
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,simulado,Citrato,56.92,Metabolómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,A_net,10.71,Fisiología
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,gs,0.141,Fisiología
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Ci,308.3,Fisiología
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,E,1.56,Fisiología
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Fv_Fm,0.696,Fisiología
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,SPAD,34.9,Fisiología
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,CTD,0.96,Fisiología
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,K_mg_g,26.73,Ionómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Na_mg_g,1.97,Ionómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Ca_mg_g,11.33,Ionómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Mg_mg_g,2.99,Ionómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,P_mg_g,4.19,Ionómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Fe_ug_g,106.1,Ionómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Zn_ug_g,37.9,Ionómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Mn_ug_g,57.9,Ionómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Glucosa,81.38,Metabolómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Fructosa,67.11,Metabolómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Sacarosa,68.72,Metabolómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Rafinosa,51.97,Metabolómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Prolina,70.58,Metabolómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,GABA,76.46,Metabolómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Malato,53.95,Metabolómica
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,simulado,Citrato,41.94,Metabolómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,A_net,18.61,Fisiología
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,gs,0.196,Fisiología
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Ci,296.6,Fisiología
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,E,2.34,Fisiología
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Fv_Fm,0.818,Fisiología
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,SPAD,42.9,Fisiología
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,CTD,3,Fisiología
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,K_mg_g,36.06,Ionómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Na_mg_g,1.92,Ionómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Ca_mg_g,11.21,Ionómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Mg_mg_g,3.17,Ionómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,P_mg_g,3.87,Ionómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Fe_ug_g,103.5,Ionómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Zn_ug_g,42.1,Ionómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Mn_ug_g,61.5,Ionómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Glucosa,100.26,Metabolómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Fructosa,66.43,Metabolómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Sacarosa,78.6,Metabolómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Rafinosa,37.78,Metabolómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Prolina,61.98,Metabolómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,GABA,74.71,Metabolómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Malato,55.08,Metabolómica
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,simulado,Citrato,53.46,Metabolómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,A_net,9.07,Fisiología
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,gs,0.157,Fisiología
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Ci,279.4,Fisiología
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,E,1.98,Fisiología
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Fv_Fm,0.675,Fisiología
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,SPAD,34.9,Fisiología
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,CTD,1.63,Fisiología
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,K_mg_g,27.51,Ionómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Na_mg_g,1.89,Ionómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Ca_mg_g,11.26,Ionómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Mg_mg_g,3.22,Ionómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,P_mg_g,3.97,Ionómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Fe_ug_g,120.1,Ionómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Zn_ug_g,42.6,Ionómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Mn_ug_g,58.5,Ionómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Glucosa,95.65,Metabolómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Fructosa,83.75,Metabolómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Sacarosa,70.33,Metabolómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Rafinosa,42.98,Metabolómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Prolina,59.92,Metabolómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,GABA,66.63,Metabolómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Malato,61.39,Metabolómica
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,simulado,Citrato,45.35,Metabolómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,A_net,9.88,Fisiología
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,gs,0.115,Fisiología
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Ci,300.3,Fisiología
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,E,1.34,Fisiología
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Fv_Fm,0.665,Fisiología
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,SPAD,40.9,Fisiología
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,CTD,1.22,Fisiología
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,K_mg_g,25.88,Ionómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Na_mg_g,1.89,Ionómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Ca_mg_g,10.74,Ionómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Mg_mg_g,3.3,Ionómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,P_mg_g,3.84,Ionómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Fe_ug_g,115.3,Ionómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Zn_ug_g,39.7,Ionómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Mn_ug_g,63.8,Ionómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Glucosa,98.57,Metabolómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Fructosa,79.65,Metabolómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Sacarosa,62.53,Metabolómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Rafinosa,43.6,Metabolómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Prolina,64.72,Metabolómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,GABA,78.86,Metabolómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Malato,49.37,Metabolómica
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,simulado,Citrato,43.78,Metabolómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,A_net,23.58,Fisiología
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,gs,0.36,Fisiología
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Ci,221.5,Fisiología
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,E,4.19,Fisiología
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Fv_Fm,0.811,Fisiología
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,SPAD,45.9,Fisiología
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,CTD,4,Fisiología
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,K_mg_g,37.69,Ionómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Na_mg_g,1.2,Ionómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Ca_mg_g,8.51,Ionómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Mg_mg_g,3.34,Ionómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,P_mg_g,4.08,Ionómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Fe_ug_g,110,Ionómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Zn_ug_g,43.6,Ionómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Mn_ug_g,65.1,Ionómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Glucosa,123.4,Metabolómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Fructosa,77.15,Metabolómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Sacarosa,99.31,Metabolómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Rafinosa,27.51,Metabolómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Prolina,41.03,Metabolómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,GABA,53.25,Metabolómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Malato,72.33,Metabolómica
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,simulado,Citrato,67.78,Metabolómica
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,A_net,20.58,Fisiología
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,gs,0.288,Fisiología
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,Ci,234.5,Fisiología
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,E,3.61,Fisiología
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,Fv_Fm,0.812,Fisiología
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,SPAD,46.7,Fisiología
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,CTD,4.87,Fisiología
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,K_mg_g,37.26,Ionómica
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,Na_mg_g,1.11,Ionómica
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,Ca_mg_g,8.7,Ionómica
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,Mg_mg_g,2.98,Ionómica
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,P_mg_g,4.34,Ionómica
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,Fe_ug_g,118.9,Ionómica
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,Zn_ug_g,37.8,Ionómica
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,Mn_ug_g,70.9,Ionómica
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,Glucosa,118.77,Metabolómica
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,Fructosa,79.57,Metabolómica
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,Sacarosa,93.27,Metabolómica
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,Rafinosa,26.38,Metabolómica
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,simulado,Prolina,40.98,Metabolómica
