sample_id,bloque,tratamiento,genotipo,A_net,gs,Ci,E,Fv_Fm,SPAD,CTD,K_mg_g,Na_mg_g,Ca_mg_g,Mg_mg_g,P_mg_g,Fe_ug_g,Zn_ug_g,Mn_ug_g,Glucosa,Fructosa,Sacarosa,Rafinosa,Prolina,GABA,Malato,Citrato,tipo_dato
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,23.58,0.36,221.5,4.19,0.811,45.9,4,37.69,1.2,8.51,3.34,4.08,110,43.6,65.1,123.4,77.15,99.31,27.51,41.03,53.25,72.33,67.78,simulado
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,20.58,0.288,234.5,3.61,0.812,46.7,4.87,37.26,1.11,8.7,2.98,4.34,118.9,37.8,70.9,118.77,79.57,93.27,26.38,40.98,58.31,71.59,57.17,simulado
TRIGO_G3_B2_Ctrl,Bloque_2,Control,G3,24.22,0.33,209.5,3.91,0.819,46.4,5.35,37.12,1.21,9.08,2.89,3.85,110.5,41.8,66.1,137.68,90.47,94.25,25.95,45.01,61.26,71.58,65.08,simulado
TRIGO_G4_B2_Ctrl,Bloque_2,Control,G4,19.28,0.318,215.1,4.07,0.823,46,4.91,39.27,1.13,8.88,3.46,4.23,104.8,39,64.2,135.9,84.94,102.73,23.14,42.74,57.38,69.26,49.24,simulado
TRIGO_G5_B2_Ctrl,Bloque_2,Control,G5,19.45,0.331,214.1,3.95,0.823,44.5,3.89,38.54,1.3,9.36,3.27,3.97,119.1,40.4,67.9,138.23,83.83,91.82,23.99,43.47,59.99,71.49,62.83,simulado
TRIGO_G1_B2_Heat,Bloque_2,Calor,G1,17.55,0.194,260.7,2.73,0.797,43.4,3.05,33.75,1.78,10.74,3.05,3.9,113.2,42.1,57.3,108.04,87.73,93.29,38.98,60.6,60.71,71.5,58.35,simulado
TRIGO_G2_B2_Heat,Bloque_2,Calor,G2,8.64,0.133,295.9,1.51,0.68,32.6,1.48,28.62,1.68,11.72,3.51,4.07,103.8,39.8,65.8,74.93,62.17,71.22,51.93,69.62,74.26,57.18,46.61,simulado
TRIGO_G3_B2_Heat,Bloque_2,Calor,G3,18.25,0.169,295.2,2.05,0.809,41.6,2.99,35.55,1.75,11.31,3.22,3.84,108.9,41,67.7,108.01,64.48,58.33,42.28,65.7,70.94,66.48,47.06,simulado
TRIGO_G4_B2_Heat,Bloque_2,Calor,G4,8.72,0.157,290.1,2.13,0.675,33.1,1.23,28.46,1.86,12.51,3.44,3.96,104.7,44.5,59.8,98.11,77.34,79.04,44.86,65.64,71.63,60.06,56.6,simulado
TRIGO_G5_B2_Heat,Bloque_2,Calor,G5,8.32,0.17,285.3,1.88,0.734,34.1,1.33,28.13,1.72,10.72,3.21,3.8,101.7,40.6,69,109.67,76.5,52.6,46.79,69.69,73.02,70.91,45.1,simulado
TRIGO_G1_B3_Ctrl,Bloque_3,Control,G1,25.32,0.336,198.8,4.25,0.826,48.5,4.13,36.76,1.12,8.16,3.61,4.59,115.6,44.1,66.2,110.3,95.42,99.97,21.84,42.65,47.97,73.11,58.44,simulado
TRIGO_G2_B3_Ctrl,Bloque_3,Control,G2,20.8,0.294,213.7,3.94,0.811,42.2,4.48,37.16,1.22,8.26,3.55,4.11,121.5,39.2,63.5,122.06,88.72,86.64,26.62,38.81,47.17,67.2,57.15,simulado
TRIGO_G3_B3_Ctrl,Bloque_3,Control,G3,24.06,0.317,214.9,3.64,0.809,46,3.2,39.12,1.22,7.65,3.15,3.93,101.6,43.3,67.2,127.44,86.05,88.28,25.35,40.21,45.09,72.82,59.01,simulado
TRIGO_G4_B3_Ctrl,Bloque_3,Control,G4,19.72,0.264,208,3.34,0.825,42.6,4.09,38.92,1.15,8.29,3.39,4.15,113.4,45.6,72.9,107.26,92.77,93.43,27.99,40.64,45.54,80.87,55.03,simulado
TRIGO_G5_B3_Ctrl,Bloque_3,Control,G5,20.51,0.324,217.6,4.1,0.818,44.3,4.4,37.97,1.15,8.2,3.33,4.07,106.1,35.8,65.6,136.68,77.69,91.11,26.01,43.79,47.14,62.74,65.7,simulado
TRIGO_G1_B3_Heat,Bloque_3,Calor,G1,18.09,0.202,298.1,2.68,0.794,44,2.83,35.21,1.83,11.29,3.47,4.04,107.1,40,65.9,99.97,76.69,74.58,40.96,60.01,68.23,74.99,57.71,simulado
TRIGO_G2_B3_Heat,Bloque_3,Calor,G2,8.53,0.149,327.7,1.62,0.689,34.1,1.59,29.3,1.58,11.41,3.01,4.25,106.4,43.4,63.4,101.07,60.87,60.08,51.7,73.16,82.71,59.02,39.22,simulado
TRIGO_G3_B3_Heat,Bloque_3,Calor,G3,18.3,0.195,293.5,2.17,0.779,40.1,2.77,33.94,1.59,12.33,3.34,4.29,104.8,41.5,62,110.42,69,65.63,41.8,65.79,67.55,59,45.95,simulado
TRIGO_G4_B3_Heat,Bloque_3,Calor,G4,8.97,0.157,295.2,2.07,0.663,32.7,0.97,27.98,1.69,11.77,3.41,3.97,110.3,42.9,67.9,85.48,85.41,84.8,44.8,62.08,71.56,62.84,54.59,simulado
TRIGO_G5_B3_Heat,Bloque_3,Calor,G5,9.22,0.137,288.5,1.77,0.65,35.2,1.14,26.64,1.77,10.85,2.85,3.96,105,40.5,62,98.58,71.21,65.3,41.74,66.35,68.58,56.39,49.22,simulado
TRIGO_G1_B4_Ctrl,Bloque_4,Control,G1,23.46,0.361,191.2,4.56,0.816,43.9,5.08,37.67,1.23,8.14,2.96,4.03,111.6,42.2,65.3,103.58,93.83,112.02,24.22,43.22,42.51,60.91,60.25,simulado
TRIGO_G2_B4_Ctrl,Bloque_4,Control,G2,22.67,0.346,219.6,4.39,0.829,45.3,3.93,39.65,1.35,8.7,2.79,3.52,109.7,41.6,63.3,131.91,75.44,94.7,23.61,41.2,46.48,64.37,61.07,simulado
TRIGO_G3_B4_Ctrl,Bloque_4,Control,G3,23.99,0.349,220.9,4.23,0.822,45.1,4.97,39.24,1.29,7.97,3.15,3.72,108.6,44.9,66.7,124.23,91.15,104.33,24.69,35.7,48.91,59.83,67.76,simulado
TRIGO_G4_B4_Ctrl,Bloque_4,Control,G4,20.05,0.347,256.9,4.38,0.808,44,4.5,39.22,1.18,9.23,3.34,4.44,104.6,42.6,66.2,129.29,84.01,96.59,26.29,41.01,48.38,72.73,59,simulado
TRIGO_G5_B4_Ctrl,Bloque_4,Control,G5,21.74,0.221,217.1,2.82,0.822,48.2,4.11,39.96,1.2,8.97,3.5,4.51,106.5,42.8,68.6,127.87,77.24,102.53,25.27,42.01,46.24,70.23,50.81,simulado
TRIGO_G1_B4_Heat,Bloque_4,Calor,G1,17.02,0.191,296,2.24,0.788,43.1,3.34,35.04,1.65,10.92,3.21,4.04,114.5,41,63.2,109.28,75.11,82.27,35.37,54.29,56.92,70.27,59.16,simulado
TRIGO_G2_B4_Heat,Bloque_4,Calor,G2,9.62,0.152,289.3,2.27,0.662,30.4,1.16,28.23,1.8,10.17,3.53,4.24,113,40.8,64.1,79.62,62.85,69.79,51.38,73.13,74.98,48.46,32.48,simulado
TRIGO_G3_B4_Heat,Bloque_4,Calor,G3,16.43,0.169,266.6,2.21,0.783,42.3,3.02,34.44,1.76,12.01,2.92,4.18,104.1,40.9,61.6,100.69,77.45,73.7,40.07,60.83,73.5,57.64,50.05,simulado
TRIGO_G4_B4_Heat,Bloque_4,Calor,G4,8.39,0.152,312.9,1.66,0.681,32.8,1.12,27.58,1.85,11.13,2.86,4.87,110.6,43,63.4,104.73,69.68,95.2,45.34,60.03,62.54,58.18,48.62,simulado
TRIGO_G5_B4_Heat,Bloque_4,Calor,G5,9.61,0.11,305,1.51,0.657,35.5,0.98,26.77,1.68,11.94,3.19,4.38,114.5,40.9,66.3,103.67,73.75,63.09,47.16,70.52,63.23,59.98,46.15,simulado
