layer,variable,tratamiento,genotipo,n,n_missing,mean,sd,median,q1,q3
Fisiología,Fv_Fm,Calor,G3,4,0,0.8,0.02,0.8,0.78,0.81
Fisiología,Fv_Fm,Calor,G4,4,0,0.67,0.01,0.68,0.67,0.68
Fisiología,Fv_Fm,Calor,G5,4,0,0.68,0.04,0.66,0.66,0.68
Fisiología,Fv_Fm,Control,G1,4,0,0.82,0.01,0.81,0.81,0.82
Fisiología,Fv_Fm,Control,G2,4,0,0.82,0.01,0.82,0.81,0.83
Fisiología,Fv_Fm,Control,G3,4,0,0.82,0.01,0.82,0.82,0.82
Fisiología,Fv_Fm,Control,G4,4,0,0.82,0.01,0.82,0.81,0.82
Fisiología,Fv_Fm,Control,G5,4,0,0.82,0,0.82,0.82,0.82
Fisiología,SPAD,Calor,G1,4,0,42.7,1.64,43.25,42.4,43.55
Fisiología,SPAD,Calor,G2,4,0,33,1.98,33.35,32.05,34.3
Fisiología,SPAD,Calor,G3,4,0,41.73,1.21,41.95,41.23,42.45
Fisiología,SPAD,Calor,G4,4,0,33.38,1.03,32.95,32.77,33.55
Fisiología,SPAD,Calor,G5,4,0,36.42,3.04,35.35,34.93,36.85
Fisiología,SPAD,Control,G1,4,0,45.95,1.91,45.7,45.1,46.55
Fisiología,SPAD,Control,G2,4,0,45,1.95,45.55,44.52,46.02
Fisiología,SPAD,Control,G3,4,0,46.02,0.67,46.2,45.77,46.45
Fisiología,SPAD,Control,G4,4,0,44.8,1.84,45,43.65,46.15
Fisiología,SPAD,Control,G5,4,0,44.98,2.26,44.4,43.95,45.42
Fisiología,gs,Calor,G1,4,0,0.19,0.02,0.19,0.18,0.2
Fisiología,gs,Calor,G2,4,0,0.14,0.01,0.14,0.14,0.15
Fisiología,gs,Calor,G3,4,0,0.18,0.02,0.18,0.17,0.2
Fisiología,gs,Calor,G4,4,0,0.16,0,0.16,0.16,0.16
Fisiología,gs,Calor,G5,4,0,0.13,0.03,0.13,0.11,0.15
Fisiología,gs,Control,G1,4,0,0.36,0.02,0.36,0.35,0.36
Fisiología,gs,Control,G2,4,0,0.31,0.03,0.3,0.29,0.32
Fisiología,gs,Control,G3,4,0,0.34,0.02,0.34,0.33,0.35
Fisiología,gs,Control,G4,4,0,0.3,0.04,0.3,0.28,0.33
Fisiología,gs,Control,G5,4,0,0.28,0.05,0.29,0.25,0.33
Ionómica,Ca_mg_g,Calor,G1,4,0,10.98,0.23,10.94,10.88,11.04
Ionómica,Ca_mg_g,Calor,G2,4,0,11.16,0.68,11.37,11.04,11.49
Ionómica,Ca_mg_g,Calor,G3,4,0,11.71,0.54,11.66,11.29,12.09
Ionómica,Ca_mg_g,Calor,G4,4,0,11.67,0.63,11.52,11.23,11.96
Ionómica,Ca_mg_g,Calor,G5,4,0,11.06,0.59,10.8,10.73,11.12
Ionómica,Ca_mg_g,Control,G1,4,0,8.38,0.28,8.34,8.16,8.56
Ionómica,Ca_mg_g,Control,G2,4,0,8.69,0.35,8.7,8.59,8.8
Ionómica,Ca_mg_g,Control,G3,4,0,8.29,0.62,8.21,7.89,8.62
Ionómica,Ca_mg_g,Control,G4,4,0,8.77,0.39,8.77,8.57,8.97
Ionómica,Ca_mg_g,Control,G5,4,0,8.83,0.48,8.88,8.63,9.07
Ionómica,Fe_ug_g,Calor,G1,4,0,109.08,5.99,110.15,105.7,113.53
Ionómica,Fe_ug_g,Calor,G2,4,0,107.33,3.96,106.25,105.52,108.05
Ionómica,Fe_ug_g,Calor,G3,4,0,105.33,2.44,104.45,103.95,105.82
Ionómica,Fe_ug_g,Calor,G4,4,0,111.42,6.39,110.45,108.9,112.97
Ionómica,Fe_ug_g,Calor,G5,4,0,109.12,6.81,109.75,104.17,114.7
Ionómica,Fe_ug_g,Control,G1,4,0,111.6,2.85,110.8,109.8,112.6
Ionómica,Fe_ug_g,Control,G2,4,0,113.6,8,114.3,108.35,119.55
Ionómica,Fe_ug_g,Control,G3,4,0,105.28,5.02,105.1,101.3,109.07
Ionómica,Fe_ug_g,Control,G4,4,0,108.5,4.48,108,104.75,111.75
Ionómica,Fe_ug_g,Control,G5,4,0,109.3,6.55,106.3,105.95,109.65
Ionómica,K_mg_g,Calor,G1,4,0,33.87,1.72,34.39,33.19,35.08
Ionómica,K_mg_g,Calor,G2,4,0,28.22,1.09,28.42,27.86,28.79
Ionómica,K_mg_g,Calor,G3,4,0,35,0.98,34.99,34.31,35.68
Ionómica,K_mg_g,Calor,G4,4,0,27.88,0.44,27.78,27.56,28.1
Ionómica,K_mg_g,Calor,G5,4,0,26.86,0.94,26.7,26.45,27.11
Ionómica,K_mg_g,Control,G1,4,0,37.57,0.59,37.68,37.44,37.81
Ionómica,K_mg_g,Control,G2,4,0,38.26,1.25,38.12,37.24,39.16
Ionómica,K_mg_g,Control,G3,4,0,38.97,1.35,39.18,38.62,39.52
Ionómica,K_mg_g,Control,G4,4,0,38.39,1.51,39.07,38.23,39.23
Ionómica,K_mg_g,Control,G5,4,0,39.42,1.45,39.25,38.4,40.27
Ionómica,Mg_mg_g,Calor,G1,4,0,3.26,0.18,3.26,3.17,3.36
Ionómica,Mg_mg_g,Calor,G2,4,0,3.26,0.3,3.26,3,3.51
Ionómica,Mg_mg_g,Calor,G3,4,0,3.16,0.18,3.2,3.11,3.25
Ionómica,Mg_mg_g,Calor,G4,4,0,3.23,0.27,3.32,3.13,3.42
Ionómica,Mg_mg_g,Calor,G5,4,0,3.14,0.2,3.2,3.1,3.23
Ionómica,Mg_mg_g,Control,G1,4,0,3.2,0.34,3.15,2.94,3.41
Ionómica,Mg_mg_g,Control,G2,4,0,3.1,0.32,3.03,2.93,3.2
Ionómica,Mg_mg_g,Control,G3,4,0,3.1,0.14,3.15,3.08,3.16
Ionómica,Mg_mg_g,Control,G4,4,0,3.35,0.11,3.37,3.31,3.41
Ionómica,Mg_mg_g,Control,G5,4,0,3.3,0.16,3.3,3.23,3.37
Ionómica,Mn_ug_g,Calor,G1,4,0,62.5,3.67,63.4,61.73,64.18
Ionómica,Mn_ug_g,Calor,G2,4,0,62.8,3.42,63.75,62.02,64.52
Ionómica,Mn_ug_g,Calor,G3,4,0,63.2,3.01,61.8,61.58,63.42
Ionómica,Mn_ug_g,Calor,G4,4,0,62.4,4.21,61.6,59.47,64.53
Ionómica,Mn_ug_g,Calor,G5,4,0,65.28,3.05,65.05,63.35,66.97
Ionómica,Mn_ug_g,Control,G1,4,0,65.65,0.53,65.65,65.25,66.05
Ionómica,Mn_ug_g,Control,G2,4,0,67.5,4.77,67.2,63.45,71.25
Ionómica,Mn_ug_g,Control,G3,4,0,67,0.8,66.95,66.55,67.4
Ionómica,Mn_ug_g,Control,G4,4,0,66.8,4.19,65.2,64.12,67.88
Ionómica,Mn_ug_g,Control,G5,4,0,67.83,1.58,68.25,67.33,68.75
Ionómica,Na_mg_g,Calor,G1,4,0,1.72,0.1,1.71,1.64,1.79
Ionómica,Na_mg_g,Calor,G2,4,0,1.76,0.17,1.74,1.66,1.84
Ionómica,Na_mg_g,Calor,G3,4,0,1.75,0.13,1.75,1.71,1.8
Ionómica,Na_mg_g,Calor,G4,4,0,1.82,0.09,1.85,1.81,1.87
Ionómica,Na_mg_g,Calor,G5,4,0,1.76,0.09,1.75,1.71,1.8
Ionómica,Na_mg_g,Control,G1,4,0,1.19,0.05,1.21,1.18,1.21
Ionómica,Na_mg_g,Control,G2,4,0,1.24,0.1,1.24,1.19,1.28
Ionómica,Na_mg_g,Control,G3,4,0,1.21,0.07,1.21,1.19,1.24
Ionómica,Na_mg_g,Control,G4,4,0,1.22,0.13,1.17,1.15,1.24
Ionómica,Na_mg_g,Control,G5,4,0,1.19,0.09,1.17,1.14,1.22
Ionómica,P_mg_g,Calor,G1,4,0,4.06,0.15,4.04,4,4.1
Ionómica,P_mg_g,Calor,G2,4,0,4.19,0.08,4.22,4.16,4.24
Ionómica,P_mg_g,Calor,G3,4,0,4.04,0.22,4.03,3.86,4.21
Ionómica,P_mg_g,Calor,G4,4,0,4.19,0.45,3.97,3.97,4.2
Ionómica,P_mg_g,Calor,G5,4,0,4,0.27,3.9,3.83,4.06
Ionómica,P_mg_g,Control,G1,4,0,4.22,0.25,4.14,4.07,4.3
Ionómica,P_mg_g,Control,G2,4,0,4.02,0.35,4.1,3.95,4.17
Ionómica,P_mg_g,Control,G3,4,0,3.77,0.15,3.79,3.68,3.87
Ionómica,P_mg_g,Control,G4,4,0,4.23,0.16,4.19,4.13,4.28
Ionómica,P_mg_g,Control,G5,4,0,4.08,0.31,4.02,3.92,4.18
Ionómica,Zn_ug_g,Calor,G1,4,0,40.15,1.96,40.5,39.38,41.27
Ionómica,Zn_ug_g,Calor,G2,4,0,40.47,2.29,40.3,39.32,41.45
Ionómica,Zn_ug_g,Calor,G3,4,0,41.38,0.55,41.25,40.98,41.65
Ionómica,Zn_ug_g,Calor,G4,4,0,43.25,0.85,42.95,42.82,43.38
Ionómica,Zn_ug_g,Calor,G5,4,0,40.42,0.51,40.55,40.3,40.68
Ionómica,Zn_ug_g,Control,G1,4,0,41.92,2.87,42.9,41.1,43.73
Ionómica,Zn_ug_g,Control,G2,4,0,40.5,2.49,40.4,38.85,42.05
Ionómica,Zn_ug_g,Control,G3,4,0,42.57,1.98,42.55,41.42,43.7
Ionómica,Zn_ug_g,Control,G4,4,0,42.65,2.74,43,41.7,43.95
Ionómica,Zn_ug_g,Control,G5,4,0,39.77,2.91,40.25,39.03,41
Metabolómica,Citrato,Calor,G1,4,0,58.03,0.95,58.03,57.51,58.55
Metabolómica,Citrato,Calor,G2,4,0,40.06,5.9,40.58,37.53,43.11
Metabolómica,Citrato,Calor,G3,4,0,49.13,3.37,48.56,46.78,50.9
Metabolómica,Citrato,Calor,G4,4,0,51.29,5.21,51.61,47.8,55.09
Metabolómica,Citrato,Calor,G5,4,0,46.06,2.32,45.62,44.77,46.92
Metabolómica,Citrato,Control,G1,4,0,62.05,4.05,60.98,59.8,63.24
Metabolómica,Citrato,Control,G2,4,0,58.51,1.85,57.91,57.16,59.25
Metabolómica,Citrato,Control,G3,4,0,60.2,8.34,62.05,56.5,65.75
Metabolómica,Citrato,Control,G4,4,0,55.73,4.79,57.02,53.58,59.16
Metabolómica,Citrato,Control,G5,4,0,60.69,6.7,63.12,59.83,63.99
Metabolómica,Fructosa,Calor,G1,4,0,79.12,5.8,76.82,76.3,79.65
Metabolómica,Fructosa,Calor,G2,4,0,63.25,2.7,62.51,61.84,63.92
Metabolómica,Fructosa,Calor,G3,4,0,69.34,5.71,67.72,65.94,71.11
Metabolómica,Fructosa,Calor,G4,4,0,79.04,7.15,80.54,75.43,84.16
Metabolómica,Fructosa,Calor,G5,4,0,75.28,3.63,75.12,73.11,77.29
Metabolómica,Fructosa,Control,G1,4,0,85.51,10.56,85.49,76.77,94.23
Metabolómica,Fructosa,Control,G2,4,0,81.93,5.72,81.78,78.54,85.16
Metabolómica,Fructosa,Control,G3,4,0,89.49,2.32,90.38,89.22,90.64
Metabolómica,Fructosa,Control,G4,4,0,88.17,4.35,87.95,84.71,91.41
Metabolómica,Fructosa,Control,G5,4,0,80.83,3.9,80.76,77.58,84.01
Metabolómica,GABA,Calor,G1,4,0,60.31,5.73,58.81,56.54,62.59
Metabolómica,GABA,Calor,G2,4,0,77.1,3.85,75.72,74.8,78.02
Metabolómica,GABA,Calor,G3,4,0,71.67,3.17,72.22,70.09,73.8
Metabolómica,GABA,Calor,G4,4,0,68.09,4.38,69.1,65.61,71.58
Metabolómica,GABA,Calor,G5,4,0,70.92,6.63,70.8,67.24,74.48
Metabolómica,GABA,Control,G1,4,0,47.98,4.39,48.08,46.6,49.46
Metabolómica,GABA,Control,G2,4,0,50.32,5.46,48.24,47,51.56
Metabolómica,GABA,Control,G3,4,0,49.23,8.55,47,44.24,52
Metabolómica,GABA,Control,G4,4,0,50.42,5.05,49.39,47.67,52.14
Metabolómica,GABA,Control,G5,4,0,51.18,6.28,49.24,46.92,53.5
Metabolómica,Glucosa,Calor,G1,4,0,105.97,4.15,107.32,104.94,108.35
Metabolómica,Glucosa,Calor,G2,4,0,84.25,11.54,80.5,78.45,86.3
Metabolómica,Glucosa,Calor,G3,4,0,104.84,5.14,104.35,100.58,108.61
Metabolómica,Glucosa,Calor,G4,4,0,95.99,7.99,96.88,93.11,99.76
Metabolómica,Glucosa,Calor,G5,4,0,102.62,5.28,101.12,98.58,105.17
Metabolómica,Glucosa,Control,G1,4,0,110.94,8.75,108.38,105.74,113.57
Metabolómica,Glucosa,Control,G2,4,0,119.44,11.12,120.41,115.33,124.52
Metabolómica,Glucosa,Control,G3,4,0,131.3,6.48,131.64,126.64,136.29
Metabolómica,Glucosa,Control,G4,4,0,126.62,13.2,131.66,123.78,134.5
Metabolómica,Glucosa,Control,G5,4,0,133.28,4.97,133.5,129.71,137.07
Metabolómica,Malato,Calor,G1,4,0,69.1,6.62,70.88,67.61,72.37
Metabolómica,Malato,Calor,G2,4,0,54.65,4.63,55.56,52.58,57.64
Metabolómica,Malato,Calor,G3,4,0,59.55,4.9,58.32,57,60.87
Metabolómica,Malato,Calor,G4,4,0,60.62,1.98,60.73,59.59,61.75
Metabolómica,Malato,Calor,G5,4,0,59.16,8.99,58.19,54.64,62.71
Metabolómica,Malato,Control,G1,4,0,65.93,7.98,66.62,60.02,72.53
Metabolómica,Malato,Control,G2,4,0,69.1,4.05,69.4,66.49,72
Metabolómica,Malato,Control,G3,4,0,68.32,5.87,70.31,66.74,71.89
Metabolómica,Malato,Control,G4,4,0,72.5,6.04,71,68.73,74.76
Metabolómica,Malato,Control,G5,4,0,69.14,4.33,70.86,68.36,71.64
Metabolómica,Prolina,Calor,G1,4,0,58.51,2.88,59.58,57.93,60.16
Metabolómica,Prolina,Calor,G2,4,0,71.62,1.8,71.85,70.34,73.14
Metabolómica,Prolina,Calor,G3,4,0,63.58,2.55,63.84,61.69,65.72
Metabolómica,Prolina,Calor,G4,4,0,61.92,2.67,61.06,60,62.97
Metabolómica,Prolina,Calor,G5,4,0,67.82,2.74,68.02,65.94,69.9
Metabolómica,Prolina,Control,G1,4,0,42.24,0.94,42.35,41.8,42.79
Metabolómica,Prolina,Control,G2,4,0,38.48,3.85,39.89,37.34,41.03
Metabolómica,Prolina,Control,G3,4,0,40.42,3.81,40.49,39.08,41.83
Metabolómica,Prolina,Control,G4,4,0,41.7,1.03,41.7,40.92,42.48
Metabolómica,Prolina,Control,G5,4,0,42.36,1.64,42.74,41.56,43.55
Metabolómica,Rafinosa,Calor,G1,4,0,37.94,2.52,37.71,36.17,39.48
Metabolómica,Rafinosa,Calor,G2,4,0,51.75,0.27,51.81,51.62,51.94
Metabolómica,Rafinosa,Calor,G3,4,0,40.48,2.04,40.94,39.5,41.92
Metabolómica,Rafinosa,Calor,G4,4,0,44.49,1.04,44.83,44.34,44.98
Metabolómica,Rafinosa,Calor,G5,4,0,44.82,2.6,45.2,43.14,46.88
Metabolómica,Rafinosa,Control,G1,4,0,24.63,2.33,24.59,23.62,25.59
Metabolómica,Rafinosa,Control,G2,4,0,25.57,1.37,26.03,25.16,26.44
Metabolómica,Rafinosa,Control,G3,4,0,24.38,1.96,25.02,23.9,25.5
Metabolómica,Rafinosa,Control,G4,4,0,25.7,2.02,25.83,24.81,26.72
Metabolómica,Rafinosa,Control,G5,4,0,24.28,1.82,24.63,23.46,25.46
Metabolómica,Sacarosa,Calor,G1,4,0,83.16,7.69,82.38,80.35,85.19
Metabolómica,Sacarosa,Calor,G2,4,0,67.45,5.02,69.25,66.56,70.15
Metabolómica,Sacarosa,Calor,G3,4,0,69.06,8.93,69.66,63.8,74.93
Metabolómica,Sacarosa,Calor,G4,4,0,82.34,10.43,81.92,76.86,87.4
Metabolómica,Sacarosa,Calor,G5,4,0,60.88,5.65,62.81,60.05,63.64
Metabolómica,Sacarosa,Control,G1,4,0,101.21,7.76,99.64,97.87,102.98
Metabolómica,Sacarosa,Control,G2,4,0,91.25,3.56,91.84,89.46,93.63
Metabolómica,Sacarosa,Control,G3,4,0,94.13,7.27,91.95,89.31,96.77
Metabolómica,Sacarosa,Control,G4,4,0,93.62,8.81,95.01,90.51,98.12
Metabolómica,Sacarosa,Control,G5,4,0,94.59,5.35,92.35,91.64,95.3
