"sample_id","bloque","tratamiento","genotipo","Glucosa","Fructosa","Sacarosa","Rafinosa","Prolina","GABA","Malato","Citrato","tipo_dato"
"TRIGO_G3_B3_Ctrl","Bloque_3","Control","G3",127.44,86.05,88.28,25.35,40.21,45.09,72.82,59.01,"simulado"
"TRIGO_G4_B3_Ctrl","Bloque_3","Control","G4",107.26,92.77,93.43,27.99,40.64,45.54,80.87,55.03,"simulado"
"TRIGO_G5_B3_Ctrl","Bloque_3","Control","G5",136.68,77.69,91.11,26.01,43.79,47.14,62.74,65.7,"simulado"
"TRIGO_G1_B3_Heat","Bloque_3","Calor","G1",99.97,76.69,74.58,40.96,60.01,68.23,74.99,57.71,"simulado"
"TRIGO_G2_B3_Heat","Bloque_3","Calor","G2",101.07,60.87,60.08,51.7,73.16,82.71,59.02,39.22,"simulado"
"TRIGO_G3_B3_Heat","Bloque_3","Calor","G3",110.42,69,65.63,41.8,65.79,67.55,59,45.95,"simulado"
"TRIGO_G4_B3_Heat","Bloque_3","Calor","G4",85.48,85.41,84.8,44.8,62.08,71.56,62.84,54.59,"simulado"
"TRIGO_G5_B3_Heat","Bloque_3","Calor","G5",98.58,71.21,65.3,41.74,66.35,68.58,56.39,49.22,"simulado"
"TRIGO_G1_B4_Ctrl","Bloque_4","Control","G1",103.58,93.83,112.02,24.22,43.22,42.51,60.91,60.25,"simulado"
"TRIGO_G2_B4_Ctrl","Bloque_4","Control","G2",131.91,75.44,94.7,23.61,41.2,46.48,64.37,61.07,"simulado"
"TRIGO_G3_B4_Ctrl","Bloque_4","Control","G3",124.23,91.15,104.33,24.69,35.7,48.91,59.83,67.76,"simulado"
"TRIGO_G4_B4_Ctrl","Bloque_4","Control","G4",129.29,84.01,96.59,26.29,41.01,48.38,72.73,59,"simulado"
"TRIGO_G5_B4_Ctrl","Bloque_4","Control","G5",127.87,77.24,102.53,25.27,42.01,46.24,70.23,50.81,"simulado"
"TRIGO_G1_B4_Heat","Bloque_4","Calor","G1",109.28,75.11,82.27,35.37,54.29,56.92,70.27,59.16,"simulado"
"TRIGO_G2_B4_Heat","Bloque_4","Calor","G2",79.62,62.85,69.79,51.38,73.13,74.98,48.46,32.48,"simulado"
"TRIGO_G3_B4_Heat","Bloque_4","Calor","G3",100.69,77.45,73.7,40.07,60.83,73.5,57.64,50.05,"simulado"
"TRIGO_G4_B4_Heat","Bloque_4","Calor","G4",104.73,69.68,95.2,45.34,60.03,62.54,58.18,48.62,"simulado"
"TRIGO_G5_B4_Heat","Bloque_4","Calor","G5",103.67,73.75,63.09,47.16,70.52,63.23,59.98,46.15,"simulado"
